rule,samples,positive_rate
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum <= 0.234104 and gamma_flip_strike_perc_cross_persistence__mean > 3.993146 and net_gex_cross_persistence__minimum > 1.966276,24,0.958333333
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum <= 0.234104 and gamma_flip_strike_perc_cross_persistence__mean <= 3.993146 and gamma_flip_strike_perc_cross_persistence__variance <= 0.000639 and gamma_flip_strike_perc_cross_persistence__maximum > 2.038618 and gamma_flip_strike_perc_nearflip_approach_speed <= -0.110086,24,0.875
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation > 0.001328 and net_gex_instability__standard_deviation > 0.001454 and gamma_flip_strike_perc_nearflip_approach_speed__median > 0.838294 and net_gex_instability__standard_deviation > 0.009218,22,0.818181818
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation > 0.001328 and net_gex_instability__standard_deviation <= 0.001454,22,0.818181818
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation <= 0.001328 and net_gex_vol_potential__standard_deviation <= 0.001289 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.005236 and gamma_flip_strike_perc_vol10__standard_deviation > 0.004927,21,0.80952381
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation <= 0.000680 and net_gex_vol_potential__standard_deviation > 0.005907 and gamma_flip_strike_perc_vol10__standard_deviation > 0.003916 and gamma_flip_strike_perc_cross_persistence__median <= 2.002895,26,0.807692308
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation > 0.007067 and gamma_flip_strike_perc_cross_persistence__median > 2.990622,30,0.8
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation > 0.001328 and net_gex_instability__standard_deviation > 0.001454 and gamma_flip_strike_perc_nearflip_approach_speed__median > 0.838294 and net_gex_instability__standard_deviation <= 0.009218 and net_gex_cross_persistence__minimum > 3.931056,24,0.75
gamma_flip_strike_perc_smooth5__absolute_maximum <= 0.004418,28,0.75
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation > 0.007067 and gamma_flip_strike_perc_cross_persistence__median <= 2.990622 and gamma_flip_strike_perc_cross_persistence__minimum <= 1.961113,22,0.727272727
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum <= 0.234104 and gamma_flip_strike_perc_cross_persistence__mean <= 3.993146 and gamma_flip_strike_perc_cross_persistence__variance <= 0.000639 and gamma_flip_strike_perc_cross_persistence__maximum <= 2.038618 and net_gex_cross_persistence__sum_values <= 39.949364,20,0.65
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation <= 0.000680 and net_gex_vol_potential__standard_deviation <= 0.005907 and gamma_flip_strike_perc_vol10__standard_deviation > 0.005627,21,0.619047619
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum <= 0.234104 and gamma_flip_strike_perc_cross_persistence__mean <= 3.993146 and gamma_flip_strike_perc_cross_persistence__variance <= 0.000639 and gamma_flip_strike_perc_cross_persistence__maximum > 2.038618 and gamma_flip_strike_perc_nearflip_approach_speed > -0.110086,23,0.608695652
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation <= 0.000680 and net_gex_vol_potential__standard_deviation <= 0.005907 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.005627 and gamma_flip_strike_perc_vol10__variance > 0.000011 and gamma_flip_strike_perc_smooth5__standard_deviation <= 0.001301 and gamma_flip_strike_perc_instability__standard_deviation > 0.000293,20,0.6
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation > 0.001328 and net_gex_instability__standard_deviation > 0.001454 and gamma_flip_strike_perc_nearflip_approach_speed__median <= 0.838294 and gamma_flip_strike_perc_vol10__standard_deviation > 0.005915 and gamma_flip_strike_perc_cross_persistence__median > 3.001270,25,0.6
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum <= 0.234104 and gamma_flip_strike_perc_cross_persistence__mean > 3.993146 and net_gex_cross_persistence__minimum <= 1.966276,20,0.55
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum <= 0.234104 and gamma_flip_strike_perc_cross_persistence__mean <= 3.993146 and gamma_flip_strike_perc_cross_persistence__variance <= 0.000639 and gamma_flip_strike_perc_cross_persistence__maximum <= 2.038618 and net_gex_cross_persistence__sum_values > 39.949364 and net_gex_cross_persistence__sum_values > 59.840775,22,0.545454545
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation <= 0.000680 and net_gex_vol_potential__standard_deviation > 0.005907 and gamma_flip_strike_perc_vol10__standard_deviation > 0.003916 and gamma_flip_strike_perc_cross_persistence__median > 2.002895,28,0.535714286
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation > 0.001328 and net_gex_instability__standard_deviation > 0.001454 and gamma_flip_strike_perc_nearflip_approach_speed__median <= 0.838294 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.005915 and net_gex_vol_potential__standard_deviation <= 0.006683,515,0.518446602
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation > 0.001328 and net_gex_instability__standard_deviation > 0.001454 and gamma_flip_strike_perc_nearflip_approach_speed__median > 0.838294 and net_gex_instability__standard_deviation <= 0.009218 and net_gex_cross_persistence__minimum <= 3.931056,274,0.518248175
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation <= 0.000680 and net_gex_vol_potential__standard_deviation <= 0.005907 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.005627 and gamma_flip_strike_perc_vol10__variance <= 0.000011,29,0.517241379
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation <= 0.001328 and net_gex_vol_potential__standard_deviation <= 0.001289 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.005236 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.004927 and gamma_flip_strike_perc_vol10__variance > 0.000013,114,0.5
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation <= 0.001328 and net_gex_vol_potential__standard_deviation <= 0.001289 and gamma_flip_strike_perc_vol10__standard_deviation > 0.005236 and gamma_flip_strike_perc_smooth5__minimum > 0.024130,31,0.451612903
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square <= 0.012848 and net_gex_cross_persistence__root_mean_square <= 2.005354,20,0.45
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation > 0.001328 and net_gex_instability__standard_deviation > 0.001454 and gamma_flip_strike_perc_nearflip_approach_speed__median <= 0.838294 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.005915 and net_gex_vol_potential__standard_deviation > 0.006683,204,0.421568627
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation > 0.007067 and gamma_flip_strike_perc_cross_persistence__median <= 2.990622 and gamma_flip_strike_perc_cross_persistence__minimum > 1.961113,27,0.37037037
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation <= 0.001328 and net_gex_vol_potential__standard_deviation <= 0.001289 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.005236 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.004927 and gamma_flip_strike_perc_vol10__variance <= 0.000013,52,0.326923077
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum <= 0.234104 and gamma_flip_strike_perc_cross_persistence__mean <= 3.993146 and gamma_flip_strike_perc_cross_persistence__variance > 0.000639,25,0.32
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation <= 0.000680 and net_gex_vol_potential__standard_deviation > 0.005907 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.003916,29,0.310344828
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation <= 0.000680 and net_gex_vol_potential__standard_deviation <= 0.005907 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.005627 and gamma_flip_strike_perc_vol10__variance > 0.000011 and gamma_flip_strike_perc_smooth5__standard_deviation <= 0.001301 and gamma_flip_strike_perc_instability__standard_deviation <= 0.000293,21,0.285714286
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation <= 0.000680 and net_gex_vol_potential__standard_deviation <= 0.005907 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.005627 and gamma_flip_strike_perc_vol10__variance > 0.000011 and gamma_flip_strike_perc_smooth5__standard_deviation > 0.001301 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum <= 0.035925,35,0.285714286
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum <= 0.234104 and gamma_flip_strike_perc_cross_persistence__mean <= 3.993146 and gamma_flip_strike_perc_cross_persistence__variance <= 0.000639 and gamma_flip_strike_perc_cross_persistence__maximum <= 2.038618 and net_gex_cross_persistence__sum_values > 39.949364 and net_gex_cross_persistence__sum_values <= 59.840775,20,0.25
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation > 0.001328 and net_gex_instability__standard_deviation > 0.001454 and gamma_flip_strike_perc_nearflip_approach_speed__median <= 0.838294 and gamma_flip_strike_perc_vol10__standard_deviation > 0.005915 and gamma_flip_strike_perc_cross_persistence__median <= 3.001270,66,0.227272727
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square <= 0.012848 and net_gex_cross_persistence__root_mean_square > 2.005354,25,0.2
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation <= 0.001328 and net_gex_vol_potential__standard_deviation <= 0.001289 and gamma_flip_strike_perc_vol10__standard_deviation > 0.005236 and gamma_flip_strike_perc_smooth5__minimum <= 0.024130,32,0.125
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation <= 0.001328 and net_gex_vol_potential__standard_deviation > 0.001289,21,0.095238095
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation <= 0.000680 and net_gex_vol_potential__standard_deviation <= 0.005907 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.005627 and gamma_flip_strike_perc_vol10__variance > 0.000011 and gamma_flip_strike_perc_smooth5__standard_deviation > 0.001301 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.035925,38,0.052631579
